Point,Corner,Vbias,Pass/Fail,PWR,FREQ,/V0/PLUS
1,nom,0,pass,2.25778203702573e-09,3.24532377166211e+02,
2,nom,6.206896552e-3,pass,2.24664494558639e-09,3.23376992352716e+02,
3,nom,12.4137931e-3,pass,2.23824821651258e-09,3.15513069102742e+02,
4,nom,18.62068966e-3,pass,2.22567030173789e-09,3.16105071415540e+02,
5,nom,24.82758621e-3,pass,2.20943581113475e-09,3.11735381762211e+02,
6,nom,31.03448276e-3,pass,2.19385384458425e-09,3.06056352149693e+02,
7,nom,37.24137931e-3,pass,2.17102692110452e-09,3.05527828030608e+02,
8,nom,43.44827586e-3,pass,2.15246961925858e-09,2.95008467747945e+02,
9,nom,49.65517241e-3,pass,2.12735946327869e-09,2.89313445159319e+02,
10,nom,55.86206897e-3,pass,2.10293099760231e-09,2.81365258514648e+02,
11,nom,62.06896552e-3,pass,2.07705072618742e-09,2.75850751396272e+02,
12,nom,68.27586207e-3,pass,2.05007157752397e-09,2.66632200368528e+02,
13,nom,74.48275862e-3,pass,2.02068332406512e-09,2.58883941844565e+02,
14,nom,80.68965517e-3,pass,1.99780497842883e-09,2.51646521955909e+02,
15,nom,86.89655172e-3,pass,1.97207479421075e-09,2.42279880738367e+02,
16,nom,93.10344828e-3,pass,1.94746005981358e-09,2.33400665837355e+02,
17,nom,99.31034483e-3,pass,1.92797653064722e-09,2.27567401213625e+02,
18,nom,105.5172414e-3,pass,1.90764481367526e-09,2.19029173490273e+02,
19,nom,111.7241379e-3,pass,1.89426400476943e-09,2.12080526963381e+02,
20,nom,117.9310345e-3,pass,1.88340285901073e-09,2.03242564892022e+02,
21,nom,124.137931e-3,pass,1.87928730625755e-09,1.95496575238729e+02,
22,nom,130.3448276e-3,pass,1.87999681408188e-09,1.90594063148298e+02,
23,nom,136.5517241e-3,pass,1.88891885650884e-09,1.84848850355710e+02,
24,nom,142.7586207e-3,pass,1.89915349082228e-09,1.79756436855349e+02,
25,nom,148.9655172e-3,pass,1.91854578021275e-09,1.73545578212648e+02,
26,nom,155.1724138e-3,pass,1.95008870319469e-09,1.67875681092063e+02,
27,nom,161.3793103e-3,pass,1.98317533159819e-09,1.61999231925068e+02,
28,nom,167.5862069e-3,pass,2.03027446209185e-09,1.57122166579448e+02,
29,nom,173.7931034e-3,pass,2.08855686852487e-09,1.51530599825844e+02,
