Point,Corner,mc_iteration,Pass/Fail,Voltage_thres,gm_0,gm_1,ID_max,ID_Interpol,Gain_inter,Rout_0,Rout_1,Voh,Vol,Vih,Vil
1,nom,1,,1.29488168577690e+00,8.09479703569384e-05,9.74665536608900e-06,4.66404394309786e-06,4.65482549148474e-06,-8.72673265181377e+01,1.02267857556134e+06,1.89411050765397e+07,1.75512634469356e+00,3.88847331988864e-02,1.40852638028185e+00,1.26962779930885e+00
2,nom,2,,1.29490668980918e+00,8.49898797066105e-05,1.01578258712071e-05,4.94536765758875e-06,4.93563856797564e-06,-8.45665804392141e+01,9.43961871038517e+05,1.77187325666170e+07,1.75449253105068e+00,3.90395738953426e-02,1.40994349522085e+00,1.26921512683951e+00
3,nom,3,,1.25903781943457e+00,7.78216227142573e-05,1.00789384770253e-05,4.67060569829162e-06,4.66193783266715e-06,-9.05563003921428e+01,1.10036571338252e+06,1.85443186267653e+07,1.75438099564133e+00,3.95262316151283e-02,1.37295841684316e+00,1.23330917341504e+00
4,nom,4,,1.28058112877995e+00,7.93682725489518e-05,9.88160211685199e-06,4.63920978067903e-06,4.63052074923359e-06,-9.03867896212506e+01,1.07950439519549e+06,1.90108925731460e+07,1.75494387829031e+00,3.90889153424407e-02,1.39367002909980e+00,1.25526757750492e+00
5,nom,5,,1.28579103459982e+00,8.98229037679254e-05,1.08482666267764e-05,5.32510666918527e-06,5.31530997542664e-06,-8.47005556707715e+01,8.94768770937811e+05,1.63006294191248e+07,1.75352346601915e+00,3.91556377600368e-02,1.40196301289183e+00,1.25974704438500e+00
6,nom,6,,1.28452162509653e+00,8.35311339560755e-05,1.01559472310965e-05,4.90738742737722e-06,4.89869290690816e-06,-8.75163480930035e+01,9.94984439933662e+05,1.76742725031239e+07,1.75428516679661e+00,3.91144509307969e-02,1.39941301435344e+00,1.25890636854541e+00
7,nom,7,,1.25361444433817e+00,7.53690955512661e-05,9.81891630253490e-06,4.54219996396742e-06,4.53400261610902e-06,-9.05283270310042e+01,1.13601659826142e+06,1.88126800308774e+07,1.75444433041212e+00,3.96700034909163e-02,1.36781973605461e+00,1.22784661209770e+00
8,nom,8,,1.27235330843561e+00,7.67851575049532e-05,9.69337046302062e-06,4.51262477109801e-06,4.50474289986840e-06,-9.26553517030978e+01,1.14458080254270e+06,1.93513472863644e+07,1.75497935107484e+00,3.91668327205187e-02,1.38522857824761e+00,1.24714657600091e+00
9,nom,9,,1.27866629985526e+00,8.42141542214458e-05,1.03872578670084e-05,4.99530399441638e-06,4.98636976451300e-06,-8.73987878287242e+01,9.84583763809506e+05,1.73682984253333e+07,1.75404169503009e+00,3.92961086783868e-02,1.39370481609220e+00,1.25280975888526e+00
10,nom,10,,1.30222942335249e+00,9.33221208921392e-05,1.08977794120832e-05,5.45589022594615e-06,5.44464439626328e-06,-8.03510027025650e+01,8.16697004609825e+05,1.60449932830015e+07,1.75365620173739e+00,3.90012010243199e-02,1.41907159783869e+00,1.27607217729884e+00
11,nom,11,,1.25872031866910e+00,8.00091826312865e-05,1.02876705661167e-05,4.84292226790437e-06,4.83388397493461e-06,-8.73922490264260e+01,1.03281182867878e+06,1.76699530569758e+07,1.75392439881911e+00,3.97339634270353e-02,1.37403385941630e+00,1.23253606960699e+00
12,nom,12,,1.27931274366855e+00,7.82853807735111e-05,9.67953112976071e-06,4.58566017067754e-06,4.57775940507984e-06,-9.04415469480915e+01,1.09723461220462e+06,1.89226916201991e+07,1.75487645079819e+00,3.91731605897432e-02,1.39296545369449e+00,1.25397445011502e+00
13,nom,13,,1.27829042821796e+00,8.73018811470243e-05,1.07180625287803e-05,5.21038590661746e-06,5.20119785969067e-06,-8.61897504753368e+01,9.36837175809802e+05,1.65671583445966e+07,1.75357357632698e+00,3.93281439893034e-02,1.39418454483213e+00,1.25221580598014e+00
14,nom,14,,1.28501080836110e+00,8.25502949131164e-05,1.01835395735484e-05,4.82010979712640e-06,4.81064638773023e-06,-8.87366739553282e+01,1.01832247278767e+06,1.84160198808106e+07,1.75469958350623e+00,3.89942582699218e-02,1.39852544689822e+00,1.25959553742680e+00
15,nom,15,,1.25935948605821e+00,7.38369222548418e-05,9.56299542204849e-06,4.39444818159625e-06,4.38653884169834e-06,-9.23449360010573e+01,1.18373914240558e+06,1.96418386909438e+07,1.75494093146000e+00,3.94532321419540e-02,1.37248464506309e+00,1.23396303428925e+00
16,nom,16,,1.28020156105127e+00,7.42846916872923e-05,9.21983338310765e-06,4.30418403893538e-06,4.29683329209585e-06,-9.30295875876106e+01,1.18980218719317e+06,2.02581760097053e+07,1.75554428040886e+00,3.90230737791968e-02,1.39257998255920e+00,1.25528850549414e+00
17,nom,17,,1.27617876921786e+00,8.31312915327266e-05,1.03271875978338e-05,4.92785850136480e-06,4.91921981007810e-06,-8.91333942236695e+01,1.01727582082697e+06,1.76525585820512e+07,1.75414838821990e+00,3.92365497833841e-02,1.39070661636508e+00,1.25049562133286e+00
