/ed_neo1 (Design_Point=1) X,/ed_neo1 (Design_Point=1) Y,GanhoEdNeo (Design_Point=1) X,GanhoEdNeo (Design_Point=1) Y,/I37/I0/b1 (Design_Point=1) X,/I37/I0/b1 (Design_Point=1) Y,GanhoVprod (Design_Point=1) X,GanhoVprod (Design_Point=1) Y
-0.5,1.701313554598574,-0.499,-0.3164754621201024,-0.5,1.224443702611746,-0.499,0.2498903402929906
-0.499,1.700997079136454,-0.498,-0.0277323745050406,-0.499,1.224693592952039,-0.498,0.2498904352563611
-0.498,1.700969346761949,-0.497,-0.02786642771313017,-0.498,1.224943483387295,-0.497,0.2498905234429303
-0.497,1.700941480334236,-0.496,-0.02800144513659395,-0.497,1.225193373910738,-0.496,0.249890604692826
-0.496,1.700913478889099,-0.495,-0.02813738316498335,-0.496,1.225443264515431,-0.495,0.2498906788277464
-0.495,1.700885341505934,-0.494,-0.02827424923745878,-0.495,1.225693155194258,-0.494,0.2498907456749409
-0.494,1.700857067256696,-0.493,-0.02841205345749384,-0.494,1.225943045939933,-0.493,0.2498908050545532
-0.493,1.700828655203239,-0.492,-0.02855080178476574,-0.493,1.226192936744988,-0.492,0.2498908567858391
-0.492,1.700800104401454,-0.491,-0.02869050459297637,-0.492,1.226442827601774,-0.491,0.2498909006738435
-0.491,1.700771413896861,-0.49,-0.02883116973007025,-0.491,1.226692718502448,-0.49,0.2498909365298283
-0.49,1.700742582727131,-0.489,-0.0289728055578031,-0.49,1.226942609438977,-0.489,0.2498909641568401
-0.489,1.700713609921573,-0.488,-0.0291154203131416,-0.489,1.227192500403134,-0.488,0.2498909833490435
-0.488,1.70068449450126,-0.487,-0.02925902350181528,-0.488,1.227442391386483,-0.487,0.2498909939006031
-0.487,1.700655235477758,-0.486,-0.02940362453096587,-0.487,1.227692282380384,-0.486,0.2498909955992443
-0.486,1.700625831853227,-0.485,-0.02954923009235164,-0.486,1.227942173375983,-0.485,0.2498909882271414
-0.485,1.700596282623135,-0.484,-0.02969585221634927,-0.485,1.22819206436421,-0.484,0.2498909715613615
-0.484,1.700566586770919,-0.483,-0.02984349803769601,-0.484,1.228441955335772,-0.483,0.2498909453727547
-0.483,1.700536743272881,-0.482,-0.02999217774157789,-0.483,1.228691846281144,-0.482,0.2498909094290622
