Point,Corner,Vbias,Pass/Fail,/osc,PWR,FREQ,/V0/PLUS
1,nom,1.51,pass,,2.38274695067438e-09,7.10873628261658e+00,
2,nom,1.515,pass,,2.18508808219147e-09,1.08317614975866e+01,
3,nom,1.516,pass,,2.16624594234478e-09,1.13476038317031e+01,
4,nom,1.517,pass,,2.14894306553796e-09,1.19295101525296e+01,
5,nom,1.517,pass,,2.10339686895188e-09,1.23542984767635e+01,
6,nom,1.518,pass,,2.06545645927767e-09,1.28842437992865e+01,
7,nom,1.519,pass,,2.03850669005635e-09,1.32879001135302e+01,
8,nom,1.52,pass,,2.01539714462029e-09,1.37776041768539e+01,
9,nom,1.52,pass,,2.00681155050760e-09,1.42904040269765e+01,
10,nom,1.521,pass,,1.98455752634743e-09,1.48186055767990e+01,
11,nom,1.522,pass,,1.96149595654512e-09,1.52821179845721e+01,
12,nom,1.523,pass,,1.94004452117800e-09,1.58819387078034e+01,
13,nom,1.523,pass,,1.90401288226063e-09,1.63756115100015e+01,
14,nom,1.524,pass,,1.89068003298264e-09,1.69019199697891e+01,
15,nom,1.525,pass,,1.87343665179659e-09,1.73394781230541e+01,
16,nom,1.526,pass,,1.86060882992582e-09,1.78671140257362e+01,
17,nom,1.526,pass,,1.85305911217487e-09,1.83236429049419e+01,
18,nom,1.527,pass,,1.82293550687400e-09,1.89621708020730e+01,
19,nom,1.528,pass,,1.79988519682444e-09,1.92700791995164e+01,
20,nom,1.529,pass,,1.77677709265448e-09,2.01314820027566e+01,
21,nom,1.529,pass,,1.76687920471485e-09,2.08121800861069e+01,
22,nom,1.53,pass,,1.75568204017347e-09,2.10852374469200e+01,
23,nom,1.531,pass,,1.74422770988869e-09,2.18198461072507e+01,
24,nom,1.532,pass,,1.72365139669961e-09,2.19137507276039e+01,
25,nom,1.532,pass,,1.70591559715338e-09,2.26031588516319e+01,
26,nom,1.533,pass,,1.68325505609212e-09,2.32765252985516e+01,
27,nom,1.534,pass,,1.67291065229686e-09,2.36106699973373e+01,
28,nom,1.535,pass,,1.66571658867068e-09,2.42376503707309e+01,
29,nom,1.535,pass,,1.65102088823910e-09,2.47083929798786e+01,
30,nom,1.536,pass,,1.63743112592761e-09,2.52454300851872e+01,
31,nom,1.537,pass,,1.62170197576908e-09,2.59958039919558e+01,
32,nom,1.538,pass,,1.60171934505373e-09,2.64695548431726e+01,
33,nom,1.538,pass,,1.59322775081652e-09,2.71266014834205e+01,
34,nom,1.539,pass,,1.58615009935255e-09,2.76564850013268e+01,
35,nom,1.54,pass,,1.57524291411908e-09,2.81755277616312e+01,
36,nom,1.541,pass,,1.56256332903402e-09,2.89072843957357e+01,
37,nom,1.542,pass,,1.54963473469532e-09,2.94304749675291e+01,
38,nom,1.542,pass,,1.54209243341924e-09,2.99873781356516e+01,
39,nom,1.543,pass,,1.53355422029543e-09,3.08346314453830e+01,
40,nom,1.544,pass,,1.52729088982206e-09,3.14484373853151e+01,
41,nom,1.545,pass,,1.51631054575007e-09,3.21609954521744e+01,
42,nom,1.545,pass,,1.50411860188625e-09,3.27962454127800e+01,
43,nom,1.546,pass,,1.49627819801909e-09,3.35125486533941e+01,
44,nom,1.547,pass,,1.49156487972003e-09,3.39644579690684e+01,
45,nom,1.548,pass,,1.48202045101672e-09,3.48817327524807e+01,
46,nom,1.548,pass,,1.47300495418313e-09,3.57351189802157e+01,
47,nom,1.549,pass,,1.46180233157150e-09,3.61218544486061e+01,
48,nom,1.55,pass,,1.45550842400289e-09,3.68422026613982e+01,
49,nom,1.551,pass,,1.45081642794815e-09,3.75610575751441e+01,
50,nom,1.551,pass,,1.44600515881982e-09,3.83164575447382e+01,
51,nom,1.552,pass,,1.43631328433920e-09,3.92387597776767e+01,
52,nom,1.553,pass,,1.42906394508626e-09,3.97610323923481e+01,
53,nom,1.554,pass,,1.42080643693123e-09,4.06395209024668e+01,
54,nom,1.554,pass,,1.41583864656998e-09,4.17366618598079e+01,
55,nom,1.555,pass,,1.40961539956129e-09,4.22805151400782e+01,
56,nom,1.556,pass,,1.40276352771317e-09,4.31567263885374e+01,
57,nom,1.557,pass,,1.40022879247309e-09,4.37935584602501e+01,
58,nom,1.557,pass,,1.39695704672140e-09,4.47518925573736e+01,
59,nom,1.558,pass,,1.39162701570283e-09,4.55414463115745e+01,
60,nom,1.559,pass,,1.38380822243654e-09,4.65499320407624e+01,
61,nom,1.56,pass,,1.38208126839763e-09,4.70737255585946e+01,
62,nom,1.56,pass,,1.37874165833755e-09,4.80250607255002e+01,
63,nom,1.561,pass,,1.37706795855963e-09,4.90544132142581e+01,
64,nom,1.562,pass,,1.37280720262536e-09,5.01700354316931e+01,
65,nom,1.563,pass,,1.36936033968045e-09,5.09751864306572e+01,
66,nom,1.563,pass,,1.36640070852116e-09,5.17146937764722e+01,
67,nom,1.564,pass,,1.36009986081328e-09,5.26957035277471e+01,
68,nom,1.565,pass,,1.35786166806863e-09,5.36142126845780e+01,
69,nom,1.566,pass,,1.35595123934905e-09,5.47143958345356e+01,
70,nom,1.567,pass,,1.35576114907511e-09,5.59708012905267e+01,
71,nom,1.567,pass,,1.35328931625719e-09,5.69532027982276e+01,
72,nom,1.568,pass,,1.35206589973161e-09,5.79317784429290e+01,
73,nom,1.569,pass,,1.34949374866369e-09,5.92923757145468e+01,
74,nom,1.57,pass,,1.34976992712594e-09,5.98664654062493e+01,
75,nom,1.57,pass,,1.34869135899501e-09,6.15079539956685e+01,
76,nom,1.571,pass,,1.34600410814532e-09,6.22862344991152e+01,
77,nom,1.572,pass,,1.34678768795871e-09,6.38177755926200e+01,
78,nom,1.573,pass,,1.34526783383898e-09,6.44909805022195e+01,
79,nom,1.573,pass,,1.34596113502763e-09,6.56835395344697e+01,
80,nom,1.574,pass,,1.34426139604930e-09,6.72103369364440e+01,
81,nom,1.575,pass,,1.34722813689930e-09,6.86223892523080e+01,
82,nom,1.576,pass,,1.34435030233740e-09,6.90945958332595e+01,
83,nom,1.576,pass,,1.34842938272018e-09,7.06477445242201e+01,
84,nom,1.577,pass,,1.34740366666125e-09,7.21741227179557e+01,
85,nom,1.578,pass,,1.34961313404145e-09,7.35133205828817e+01,
86,nom,1.579,pass,,1.34862081418422e-09,7.44689510838428e+01,
87,nom,1.579,pass,,1.34992526011249e-09,7.64014066189297e+01,
88,nom,1.58,pass,,1.35046424184195e-09,7.74234557752856e+01,
89,nom,1.581,pass,,1.35288591721848e-09,7.90343425114483e+01,
90,nom,1.582,pass,,1.35508378424823e-09,8.00837051725109e+01,
91,nom,1.582,pass,,1.35506858618777e-09,8.16202499778908e+01,
92,nom,1.583,pass,,1.35717725264460e-09,8.33248157808018e+01,
